Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
5,50,3985,1.7066372632980347,0.53275,1.1532018576996237,0.7699,0.035355339059327376,0.11666666666666667,2024-03-22 16:17:59.836989
5,100,3985,1.6302775964140892,0.54625,1.1253468077394027,0.7398,0.02886751345948129,0.25,2024-03-22 16:18:07.444647
5,150,3985,1.5808334238827229,0.55,1.0918835446804385,0.7431,0.025,0.38333333333333336,2024-03-22 16:18:15.043297
5,200,3985,1.564665362238884,0.55475,1.118860359433331,0.7237,0.022360679774997897,0.5166666666666667,2024-03-22 16:18:23.011624
5,250,3985,1.5465441048145294,0.558,1.1294587216799772,0.7175,0.020412414523193152,0.65,2024-03-22 16:18:31.445388
5,300,3985,1.515928901731968,0.559,1.1168864037417159,0.7085,0.01889822365046136,0.7833333333333333,2024-03-22 16:18:39.559132
5,350,3985,1.5120362229645252,0.564,1.1257836735701259,0.7022,0.017677669529663688,0.9166666666666666,2024-03-22 16:18:47.684692
5,400,3985,1.5054542645812035,0.562,1.191303979746903,0.654,0.016666666666666666,1.0666666666666667,2024-03-22 16:18:56.026846
5,450,3985,1.4986565336585045,0.5625,1.1481040157849276,0.6881,0.015811388300841896,1.1833333333333333,2024-03-22 16:19:03.842018
5,500,3985,1.485216312110424,0.56225,1.1807298524470269,0.6671,0.015075567228888182,1.3166666666666667,2024-03-22 16:19:11.605465
5,550,3985,1.4699021354317665,0.5635,1.143341540535794,0.6783,0.014433756729740645,1.45,2024-03-22 16:19:19.813947
5,600,3985,1.47023905813694,0.56175,1.1483391085757484,0.6785,0.01386750490563073,1.6,2024-03-22 16:19:27.997783
5,650,3985,1.4686769172549248,0.56175,1.1668095075631444,0.6644,0.01336306209562122,1.7333333333333334,2024-03-22 16:19:36.220591
5,700,3985,1.4524916037917137,0.5645,1.160676455195946,0.6676,0.012909944487358056,1.85,2024-03-22 16:19:43.795621
5,750,3985,1.4480521008372307,0.5615,1.1718225524395327,0.6657,0.0125,1.9833333333333334,2024-03-22 16:19:51.498800
5,800,3985,1.4375457391142845,0.56625,1.1773973069613493,0.6603,0.012126781251816649,2.1166666666666667,2024-03-22 16:19:59.552077
5,850,3985,1.4408717416226864,0.57025,1.1681156852577306,0.661,0.011785113019775794,2.25,2024-03-22 16:20:07.147758
5,900,3985,1.4311846904456615,0.5655,1.1861350611795354,0.6536,0.011470786693528088,2.3833333333333333,2024-03-22 16:20:15.432502
5,950,3985,1.4351674541831017,0.565,1.1736063263084315,0.6593,0.011180339887498949,2.5166666666666666,2024-03-22 16:20:23.346838
5,1000,3985,1.4370992965996265,0.57,1.2140392578100856,0.6353,0.010910894511799621,2.65,2024-03-22 16:20:31.174473
5,1050,3985,1.4185575880110264,0.571,1.1869192711914642,0.652,0.010660035817780522,2.783333333333333,2024-03-22 16:20:39.572074
5,1100,3985,1.4245932586491108,0.57075,1.2001145278351217,0.6433,0.01042572070285374,2.9166666666666665,2024-03-22 16:20:47.340129
5,1150,3985,1.4233147874474525,0.569,1.2056984599632552,0.6414,0.010206207261596576,3.05,2024-03-22 16:20:55.192570
5,1200,3985,1.428010642528534,0.56975,1.2055036418045624,0.6422,0.01,3.1666666666666665,2024-03-22 16:21:02.913087
5,1250,3985,1.421187024563551,0.569,1.2139620750765256,0.6365,0.009805806756909202,3.3,2024-03-22 16:21:10.854367
5,1300,3985,1.4194050207734108,0.57,1.2239105248753028,0.6299,0.009622504486493762,3.433333333333333,2024-03-22 16:21:18.883256
5,1350,3985,1.410204365849495,0.57075,1.2081833911847464,0.6407,0.00944911182523068,3.566666666666667,2024-03-22 16:21:26.886522
5,1400,3985,1.4091834016144276,0.57175,1.2122565975672082,0.6373,0.009284766908852594,3.7,2024-03-22 16:21:34.691436
5,1450,3985,1.398076269775629,0.5685,1.2236304252962522,0.6338,0.009128709291752768,3.8333333333333335,2024-03-22 16:21:42.571319
5,1500,3985,1.4133577272295952,0.57125,1.232077882259707,0.6276,0.008980265101338746,3.966666666666667,2024-03-22 16:21:50.364327
5,1550,3985,1.4017302952706814,0.5685,1.2246792557873303,0.6312,0.008838834764831844,4.1,2024-03-22 16:21:57.958691
5,1600,3985,1.3999554514884949,0.572,1.2221747033203705,0.6337,0.008703882797784893,4.216666666666667,2024-03-22 16:22:05.746916
5,1650,3985,1.393790576606989,0.57125,1.231677640842486,0.624,0.008574929257125443,4.35,2024-03-22 16:22:13.377397
