Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
44,50,5284982,9.333049905869891e-05,1.0,1.6037130748169333,0.6797,0.0022338352580438515,13.65,2024-04-18 00:41:00.185914
44,100,5284982,8.412443747756766e-05,1.0,1.6165380930598778,0.6828,0.0015803488531025349,27.3,2024-04-18 00:54:39.309188
44,150,5284982,8.49290456588748e-05,1.0,1.5983683172660539,0.6816,0.0012905643322991683,40.96666666666667,2024-04-18 01:08:19.142364
44,200,5284982,8.217436940874607e-05,1.0,1.6328499302079407,0.6815,0.00111775458502474,54.6,2024-04-18 01:21:56.864067
