Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
5,50,10220,1.3430186799725,0.59108,1.1438313481173938,0.6217,0.05,22.983333333333334,2023-09-26 17:24:15.801407
5,100,10220,1.2690967377799247,0.6169,1.1416458261163929,0.6166,0.0022338352580438515,45.8,2023-09-26 17:47:04.671252
5,150,10220,1.2634085773507042,0.61724,1.148747509038901,0.6133,0.0015803488531025349,69.63333333333334,2023-09-26 18:10:54.199906
5,200,10220,1.2605938079107144,0.61808,1.1543773714500138,0.6129,0.0012905643322991683,92.36666666666666,2023-09-26 18:33:38.983600
