Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
4,50,6666,1.44123922010212,0.5587,1.238312464726122,0.5782,0.05,24.25,2023-09-26 19:01:29.173352
4,100,6666,1.3909030457591767,0.5767,1.1820528024359593,0.605,0.0022338352580438515,48.833333333333336,2023-09-26 19:26:04.390297
4,150,6666,1.3871696800222177,0.57884,1.1832296380513831,0.6051,0.0015803488531025349,73.26666666666667,2023-09-26 19:50:30.486687
4,200,6666,1.3867178194967986,0.5771,1.1875319692152966,0.602,0.0012905643322991683,98.11666666666666,2023-09-26 20:15:21.194243
