Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
1000,50,795010,1.1994515433907509,0.6875,2.817927623096901,0.125,0.05,1.7333333333333334,2023-10-19 08:50:06.734429
1000,100,795010,0.6694474071264267,0.9055,3.015236513524116,0.125,0.035355339059327376,3.45,2023-10-19 08:51:50.421303
1000,150,795010,0.42390164360404015,0.96325,3.1749387753160696,0.1256,0.02886751345948129,5.183333333333334,2023-10-19 08:53:34.205896
1000,200,795010,0.29998588655143976,0.9785,3.335705198819124,0.1202,0.025,6.916666666666667,2023-10-19 08:55:17.633061
1000,250,795010,0.232565239071846,0.98625,3.4749022948591013,0.1214,0.022360679774997897,8.633333333333333,2023-10-19 08:57:01.302660
1000,300,795010,0.1873061554506421,0.99025,3.5733964745002456,0.1267,0.020412414523193152,10.366666666666667,2023-10-19 08:58:44.970549
1000,350,795010,0.15888278046622872,0.995,3.7063737277743183,0.119,0.01889822365046136,12.1,2023-10-19 09:00:28.703572
1000,400,795010,0.13657443947158754,0.99625,3.7625649548784086,0.1233,0.017677669529663688,13.816666666666666,2023-10-19 09:02:12.490852
1000,450,795010,0.11887877620756626,0.999,3.8324992988683,0.1213,0.016666666666666666,15.566666666666666,2023-10-19 09:03:56.760794
1000,500,795010,0.10612924979068339,0.99925,3.893940403491636,0.1231,0.015811388300841896,17.283333333333335,2023-10-19 09:05:40.188656
1000,550,795010,0.09668088401667774,1.0,3.9577173251139968,0.1193,0.015075567228888182,19.016666666666666,2023-10-19 09:07:23.923205
1000,600,795010,0.08801667531952262,1.0,4.004072886479052,0.1229,0.014433756729740645,20.75,2023-10-19 09:09:07.660684
1000,650,795010,0.08071868016850203,1.0,4.039223598528512,0.1228,0.01386750490563073,22.483333333333334,2023-10-19 09:10:51.562669
1000,700,795010,0.07527265301905572,1.0,4.082717448850222,0.1238,0.01336306209562122,24.2,2023-10-19 09:12:35.392736
1000,750,795010,0.06969877111259848,1.0,4.114757163615167,0.1236,0.012909944487358056,25.933333333333334,2023-10-19 09:14:19.117740
1000,800,795010,0.06557146820705384,1.0,4.152625002438509,0.1235,0.0125,27.666666666666668,2023-10-19 09:16:02.789057
1000,850,795010,0.061157128191553056,1.0,4.1842693497863,0.1241,0.012126781251816649,29.383333333333333,2023-10-19 09:17:46.305137
1000,900,795010,0.05815695854835212,1.0,4.217138058022607,0.1225,0.011785113019775794,31.116666666666667,2023-10-19 09:19:30.397800
1000,950,795010,0.056299322634004056,1.0,4.244533396974394,0.1238,0.011470786693528088,32.85,2023-10-19 09:21:14.161256
1000,1000,795010,0.05248378636315465,1.0,4.270680578449104,0.1232,0.011180339887498949,34.583333333333336,2023-10-19 09:22:57.869683
1000,1050,795010,0.05014763923827559,1.0,4.3034303641017475,0.1239,0.010910894511799621,36.3,2023-10-19 09:24:41.482932
1000,1100,795010,0.048034403240308166,1.0,4.322159389906291,0.1234,0.010660035817780522,38.03333333333333,2023-10-19 09:26:25.115163
1000,1150,795010,0.04586743901018053,1.0,4.341718749154972,0.1238,0.01042572070285374,39.766666666666666,2023-10-19 09:28:08.827431
1000,1200,795010,0.04445016849786043,1.0,4.371030946321126,0.1229,0.010206207261596576,41.483333333333334,2023-10-19 09:29:52.386930
1000,1250,795010,0.04281201330013573,1.0,4.38670604742026,0.1228,0.01,43.21666666666667,2023-10-19 09:31:35.785451
1000,1300,795010,0.04114368057344109,1.0,4.411998256852355,0.1239,0.009805806756909202,44.95,2023-10-19 09:33:19.948438
1000,1350,795010,0.03958534065168351,1.0,4.430181325236453,0.1229,0.009622504486493762,46.666666666666664,2023-10-19 09:35:03.501219
1000,1400,795010,0.038151254411786795,1.0,4.445098056068903,0.1235,0.00944911182523068,48.4,2023-10-19 09:36:47.049456
1000,1450,795010,0.03715109406039119,1.0,4.460353975054584,0.1234,0.009284766908852594,50.13333333333333,2023-10-19 09:38:30.716682
1000,1500,795010,0.036655166768468916,1.0,4.476364165921755,0.1235,0.009128709291752768,51.85,2023-10-19 09:40:14.378714
1000,1550,795010,0.03484843362821266,1.0,4.497162167030044,0.1232,0.008980265101338746,53.583333333333336,2023-10-19 09:41:57.997685
1000,1600,795010,0.0336794366594404,1.0,4.511788368225098,0.1234,0.008838834764831844,55.3,2023-10-19 09:43:41.473022
1000,1650,795010,0.03314539627172053,1.0,4.523249801201157,0.1236,0.008703882797784893,57.03333333333333,2023-10-19 09:45:25.084095
1000,1700,795010,0.03200453572208062,1.0,4.543544853789897,0.1229,0.008574929257125443,58.766666666666666,2023-10-19 09:47:08.699508
1000,1750,795010,0.03117052570451051,1.0,4.5555026319962515,0.1232,0.008451542547285166,60.5,2023-10-19 09:48:52.990238
1000,1800,795010,0.03089021606137976,1.0,4.565942670725569,0.1233,0.008333333333333333,62.233333333333334,2023-10-19 09:50:36.645778
1000,1850,795010,0.029565495264250785,1.0,4.580620180202436,0.123,0.008219949365267865,63.95,2023-10-19 09:52:20.224274
1000,1900,795010,0.029112211021129042,1.0,4.595485068574736,0.1228,0.008111071056538128,65.68333333333334,2023-10-19 09:54:03.812705
1000,1950,795010,0.02885488764150068,1.0,4.60612997525855,0.1234,0.008006407690254357,67.4,2023-10-19 09:55:47.333504
1000,2000,795010,0.027703162981197238,1.0,4.620642278767839,0.1232,0.007905694150420948,69.13333333333334,2023-10-19 09:57:30.728276
