Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
2,50,1826,1.514635483322241,0.49588,1.38262744794918,0.5081,0.05,3.6666666666666665,2023-09-28 06:34:44.271263
2,100,1826,1.4875115384836026,0.50824,1.3216087455990948,0.5351,0.0022338352580438515,7.35,2023-09-28 06:38:25.463254
2,150,1826,1.485369983231625,0.50916,1.3217344691481772,0.5358,0.0015803488531025349,11.033333333333333,2023-09-28 06:42:05.722960
2,200,1826,1.4836267254236715,0.5099,1.3202932891966421,0.5358,0.0012905643322991683,14.683333333333334,2023-09-28 06:45:45.472523
