Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
32,50,391946,0.0019575115516567436,1.0,1.0589241755159595,0.7442,0.05,36.416666666666664,2023-09-27 21:19:38.888906
32,100,391946,0.001718801734468821,1.0,1.0619701562048514,0.7449,0.0022338352580438515,62.96666666666667,2023-09-27 21:46:12.769099
32,150,391946,0.0016251206403965002,1.0,1.0710851429383965,0.7444,0.0015803488531025349,89.78333333333333,2023-09-27 22:13:01.383310
32,200,391946,0.0015645782853884007,1.0,1.0703814844541912,0.7432,0.0012905643322991683,116.35,2023-09-27 22:39:34.975878
